[ 2021-12-18 11:47:54,281 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:59,846 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:48:05,174 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:48:05,376 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:48:10,709 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:48:10,926 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:48:11,557 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-18 11:48:11,729 ] Disconnected from gameserver
[ 2021-12-19 17:23:03,935 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Druid Sample" )
[ 2021-12-19 17:23:03,948 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:23:03,953 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:23:05,181 ] News query failed: "Error transferring http://127.0.0.1/login.php - server replied: Not Implemented"
[ 2021-12-19 17:23:06,831 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-19 17:23:07,006 ] Disconnected from gameserver
[ 2021-12-19 17:23:08,491 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-12-19 17:23:08,509 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:23:08,512 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:23:09,512 ] News query failed: "Error transferring http://127.0.0.1/login.php - server replied: Not Implemented"
[ 2021-12-19 17:24:49,686 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-19 17:24:49,869 ] Disconnected from gameserver
[ 2021-12-19 17:24:51,411 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Knight Sample" )
[ 2021-12-19 17:24:51,424 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:24:51,430 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:24:52,586 ] News query failed: "Error transferring http://127.0.0.1/login.php - server replied: Not Implemented"
[ 2021-12-19 17:24:52,851 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:24:53,182 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741889 found"
[ 2021-12-19 17:24:53,407 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741953 found"
[ 2021-12-19 17:24:55,070 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741869 found"
[ 2021-12-19 17:24:55,197 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741875 found"
[ 2021-12-19 17:24:55,628 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741870 found"
[ 2021-12-19 17:24:58,065 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741942 found"
[ 2021-12-19 17:24:58,175 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741891 found"
[ 2021-12-19 17:24:58,932 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741953 found"
[ 2021-12-19 17:24:59,589 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:25:00,549 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741944 found"
[ 2021-12-19 17:25:00,701 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741875 found"
[ 2021-12-19 17:25:00,943 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741889 found"
[ 2021-12-19 17:25:01,807 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741875 found"
[ 2021-12-19 17:25:02,038 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741890 found"
[ 2021-12-19 17:25:02,600 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741864 found"
[ 2021-12-19 17:25:02,822 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:25:03,580 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741942 found"
[ 2021-12-19 17:25:03,691 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741891 found"
[ 2021-12-19 17:25:04,361 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741872 found"
[ 2021-12-19 17:25:05,577 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741870 found"
[ 2021-12-19 17:25:05,908 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741944 found"
[ 2021-12-19 17:25:06,229 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741873 found"
[ 2021-12-19 17:25:06,685 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741870 found"
[ 2021-12-19 17:25:06,823 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741877 found"
[ 2021-12-19 17:25:06,893 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741942 found"
[ 2021-12-19 17:25:07,007 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741891 found"
[ 2021-12-19 17:25:07,214 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741869 found"
[ 2021-12-19 17:25:07,350 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:25:07,354 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741875 found"
[ 2021-12-19 17:25:08,550 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741945 found"
[ 2021-12-19 17:25:09,882 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741872 found"
[ 2021-12-19 17:25:11,766 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741873 found"
[ 2021-12-19 17:25:12,329 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741877 found"
[ 2021-12-19 17:25:12,438 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741942 found"
[ 2021-12-19 17:25:12,560 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741891 found"
[ 2021-12-19 17:25:13,217 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741872 found"
[ 2021-12-19 17:25:14,995 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741869 found"
[ 2021-12-19 17:25:16,656 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741870 found"
[ 2021-12-19 17:25:20,109 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:20,543 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741869 found"
[ 2021-12-19 17:25:24,532 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741877 found"
[ 2021-12-19 17:25:25,636 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:26,086 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741869 found"
[ 2021-12-19 17:25:30,071 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741877 found"
[ 2021-12-19 17:25:33,409 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:38,939 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:40,072 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:45,581 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:51,146 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:25:58,902 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:26:02,236 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741861 found"
[ 2021-12-19 17:39:40,943 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:39:45,076 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741892 found"
[ 2021-12-19 17:39:45,593 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741942 found"
[ 2021-12-19 17:39:45,726 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:39:48,710 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:39:52,397 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:39:58,708 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:40:04,246 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741919 found"
[ 2021-12-19 17:40:05,547 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:40:35,931 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741868 found"
[ 2021-12-19 17:40:36,248 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741892 found"
[ 2021-12-19 17:40:38,815 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741876 found"
[ 2021-12-19 17:40:41,497 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741868 found"
[ 2021-12-19 17:40:42,048 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:40:46,613 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741876 found"
[ 2021-12-19 17:40:47,613 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:40:48,480 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741892 found"
[ 2021-12-19 17:40:49,612 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741892 found"
[ 2021-12-19 17:40:50,945 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:40:55,179 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741892 found"
[ 2021-12-19 17:40:56,510 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741951 found"
[ 2021-12-19 17:41:12,778 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-19 17:41:12,914 ] Disconnected from gameserver
[ 2021-12-19 17:41:21,596 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Knight Sample" )
[ 2021-12-19 17:41:21,602 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:41:21,604 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-19 17:41:21,924 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741842 found"
[ 2021-12-19 17:41:21,924 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741872 found"
[ 2021-12-19 17:41:21,924 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741974 found"
